DEP,REG
ТСЦ 8044,Misto Kyiv
ТСЦ 8043,Misto Kyiv
ТСЦ 8047,Misto Kyiv
ТСЦ 3245,Kyivs'ka oblast'
OLD_ДДАІ МВС УКРАЇНИ,Misto Kyiv
ТСЦ 1242,Dnipropetrovs'ka oblast'
ТСЦ 8041,Misto Kyiv
ТСЦ 1841,Zhytomyrs'ka oblast'
ТСЦ 6844,Khmel'nyts'ka oblast'
ТСЦ 3542,Kirovohrads'ka oblast'
ТСЦ 0541,Vinnyts'ka oblast'
ТСЦ 7341,Chernivets'ka oblast'
ТСЦ 0546,Vinnyts'ka oblast'
ТСЦ 0544,Vinnyts'ka oblast'
ТСЦ 6141,Ternopils'ka oblast'
ТСЦ 6341,Kharkivs'ka oblast'
ТСЦ 6841,Khmel'nyts'ka oblast'
ТСЦ 8048,Misto Kyiv
ТСЦ 3243,Kyivs'ka oblast'
ТСЦ 4443,Ivano-Frankivs'ka oblast'
ТСЦ 8046,Misto Kyiv
ТСЦ 5142,Odes'ka oblast'
ТСЦ 3247,Kyivs'ka oblast'
ТСЦ 2348,Zaporiz'ka oblast'
ТСЦ 7441,Chernihivs'ka oblast'
ТСЦ 3543,Kirovohrads'ka oblast'
ТСЦ 1248,Dnipropetrovs'ka oblast'
ТСЦ 8045,Misto Kyiv
ТСЦ 2643,Ivano-Frankivs'ka oblast'
ТСЦ 5146,Odes'ka oblast'
ТСЦ 3242,Kyivs'ka oblast'
ТСЦ 5141,Odes'ka oblast'
ТСЦ 7342,Chernivets'ka oblast'
ТСЦ 6845,Khmel'nyts'ka oblast'
ТСЦ 6842,Khmel'nyts'ka oblast'
ТСЦ 2142,Zakarpats'ka oblast'
ТСЦ 3541,Kirovohrads'ka oblast'
ТСЦ 5341,Poltavs'ka oblast'
ТСЦ 0743,Volyns'ka oblast'
ТСЦ 1243,Dnipropetrovs'ka oblast'
ТСЦ 1249,Dnipropetrovs'ka oblast'
ТСЦ 6349,Kharkivs'ka oblast'
ТСЦ 2144,Zakarpats'ka oblast'
ТСЦ 5152,Odes'ka oblast'
ТСЦ 5641,Rivnens'ka oblast'
ТСЦ 5642,Rivnens'ka oblast'
ТСЦ 6843,Khmel'nyts'ka oblast'
ТСЦ 1845,Zhytomyrs'ka oblast'
ТСЦ 0741,Volyns'ka oblast'
ТСЦ 1452,Donets'ka oblast'
ТСЦ 5145,Odes'ka oblast'
ТСЦ 4641,L'vivs'ka oblast'
ТСЦ 7144,Cherkas'ka oblast'
ТСЦ 5147,Odes'ka oblast'
ТСЦ 7141,Cherkas'ka oblast'
ТСЦ 1443,Donets'ka oblast'
ТСЦ 7143,Cherkas'ka oblast'
ТСЦ 2342,Zaporiz'ka oblast'
ТСЦ 1843,Zhytomyrs'ka oblast'
ТСЦ 1244,Dnipropetrovs'ka oblast'
ТСЦ 1842,Zhytomyrs'ka oblast'
ТСЦ 4841,Mykolaivs'ka oblast'
ТСЦ 5343,Poltavs'ka oblast'
ТСЦ 5346,Poltavs'ka oblast'
ТСЦ 7145,Cherkas'ka oblast'
ТСЦ 7142,Cherkas'ka oblast'
ТСЦ 5143,Odes'ka oblast'
ТСЦ 1241,Dnipropetrovs'ka oblast'
ТСЦ 6350,Kharkivs'ka oblast'
ТСЦ 5945,Sums'ka oblast'
ТСЦ 3246,Kyivs'ka oblast'
ТСЦ 3241,Kyivs'ka oblast'
ТСЦ 5342,Poltavs'ka oblast'
ТСЦ 4645,L'vivs'ka oblast'
ТСЦ 2141,Zakarpats'ka oblast'
ТСЦ 2641,Ivano-Frankivs'ka oblast'
ТСЦ 6346,Kharkivs'ka oblast'
ТСЦ 0742,Volyns'ka oblast'
ТСЦ 7444,Chernihivs'ka oblast'
ТСЦ 4649,L'vivs'ka oblast'
ТСЦ 4650,L'vivs'ka oblast'
ТСЦ 6348,Kharkivs'ka oblast'
ТСЦ 0543,Vinnyts'ka oblast'
ТСЦ 4842,Mykolaivs'ka oblast'
ТСЦ 3545,Kirovohrads'ka oblast'
ТСЦ 4844,Mykolaivs'ka oblast'
ТСЦ 5946,Sums'ka oblast'
ТСЦ 5345,Poltavs'ka oblast'
ТСЦ 7345,Chernivets'ka oblast'
ТСЦ 6145,Ternopils'ka oblast'
ТСЦ 3544,Kirovohrads'ka oblast'
ТСЦ 4644,L'vivs'ka oblast'
ТСЦ 3248,Kyivs'ka oblast'
